design_id,ip_id,ip_name,product_type,product_type_name,year,quarter,season,month,week_of_year,is_holiday_season,theme,product_age,production_cost,popularity_trend,trend_score_current,trend_score_q1,trend_score_q2,trend_score_q3,trend_score_q4,trend_momentum,trend_volatility,social_reach,social_engagement,sentiment_score,viral_coefficient,competition_level,theme_saturation,retail_price,price_multiplier,sales_quantity,revenue,sellthrough_rate
lulu_2d_animation_2017_spring_情人節,lulu_pig,Lulu罐頭豬,2d_animation,2D視頻,2017,1,Spring,2,7,1,情人節,1,high,growing,95.0,105.95,87.67,94.01,78.91,-10.95,9.85,3921,492,0.6641,0.1255,high,0.7770434682698165,358.8,1.2,2677,960823.11,0.777
lulu_2d_animation_2017_spring_復活節,lulu_pig,Lulu罐頭豬,2d_animation,2D視頻,2017,1,Spring,2,7,1,復活節,1,high,growing,95.0,80.96,94.01,85.14,96.16,14.04,6.24,5493,764,0.8888,0.1391,low,0.7751563764652958,284.05,0.95,2633,747957.51,0.7906
lulu_2d_animation_2017_spring_櫻花季,lulu_pig,Lulu罐頭豬,2d_animation,2D視頻,2017,1,Spring,2,7,1,櫻花季,1,high,growing,95.0,95.39,99.09,88.16,108.5,-0.39,7.33,5169,749,0.8456,0.1449,medium,0.6325730971192027,299.0,1.0,2511,751082.07,0.7815
lulu_2d_animation_2017_spring_春節,lulu_pig,Lulu罐頭豬,2d_animation,2D視頻,2017,1,Spring,2,7,1,春節,1,high,growing,95.0,97.49,91.41,89.32,110.01,-2.49,8.06,4835,492,0.7706,0.1018,very_high,0.3662023067482273,388.7,1.3,2489,967708.78,0.8265
lulu_3d_animation_2017_spring_復活節,lulu_pig,Lulu罐頭豬,3d_animation,3D視頻,2017,1,Spring,2,7,1,復活節,1,very_high,growing,95.0,92.31,105.26,103.7,98.55,2.69,5.06,5012,508,0.7866,0.1014,low,0.48604112748144795,284.05,0.95,3271,929320.99,0.902
lulu_3d_animation_2017_spring_情人節,lulu_pig,Lulu罐頭豬,3d_animation,3D視頻,2017,1,Spring,2,7,1,情人節,1,very_high,growing,95.0,98.05,93.91,99.94,107.08,-3.05,4.76,6822,569,0.7143,0.0834,high,0.5931177493903808,358.8,1.2,3114,1117515.12,0.8485
lulu_3d_animation_2017_spring_櫻花季,lulu_pig,Lulu罐頭豬,3d_animation,3D視頻,2017,1,Spring,2,7,1,櫻花季,1,very_high,growing,95.0,84.01,97.26,93.62,97.94,10.99,5.56,5865,728,0.7857,0.1241,medium,0.4701114972256285,299.0,1.0,3078,920339.3,0.9212
lulu_3d_animation_2017_spring_春節,lulu_pig,Lulu罐頭豬,3d_animation,3D視頻,2017,1,Spring,2,7,1,春節,1,very_high,growing,95.0,84.33,92.73,99.69,89.6,10.67,5.56,5130,685,0.7015,0.1335,very_high,0.30422574803123026,388.7,1.3,2970,1154690.23,0.9178
lulu_comic_2017_spring_情人節,lulu_pig,Lulu罐頭豬,comic,漫畫,2017,1,Spring,2,7,1,情人節,1,medium,stable,95.0,109.94,85.7,107.66,91.8,-14.94,10.28,2894,324,0.7874,0.112,high,0.6245403010094421,358.8,1.2,2020,725092.97,0.82
lulu_comic_2017_spring_復活節,lulu_pig,Lulu罐頭豬,comic,漫畫,2017,1,Spring,2,7,1,復活節,1,medium,stable,85.24,83.03,79.87,75.21,80.8,2.22,2.85,3823,424,0.6585,0.1109,low,0.4822049329977016,284.05,0.95,1907,541854.79,0.8206
lulu_comic_2017_spring_櫻花季,lulu_pig,Lulu罐頭豬,comic,漫畫,2017,1,Spring,2,7,1,櫻花季,1,medium,stable,95.0,100.71,86.79,99.86,106.74,-5.71,7.28,3632,426,0.8428,0.1173,medium,0.7448676673915283,299.0,1.0,2043,611075.7,0.8901
lulu_single_visual_2017_spring_春節,lulu_pig,Lulu罐頭豬,single_visual,視覺圖,2017,1,Spring,2,7,1,春節,1,low,growing,95.0,92.92,86.74,95.8,112.28,2.08,9.44,3886,360,0.6766,0.0926,very_high,0.38019206692183566,388.7,1.3,2393,930250.64,0.8931
lulu_single_visual_2017_spring_櫻花季,lulu_pig,Lulu罐頭豬,single_visual,視覺圖,2017,1,Spring,2,7,1,櫻花季,1,low,growing,95.0,88.55,108.99,79.23,90.63,6.45,10.79,3885,521,0.7926,0.1341,medium,0.5153526658492026,299.0,1.0,2186,653622.87,0.8447
lulu_single_visual_2017_spring_情人節,lulu_pig,Lulu罐頭豬,single_visual,視覺圖,2017,1,Spring,2,7,1,情人節,1,low,growing,95.0,101.73,101.2,97.47,85.92,-6.73,6.37,4992,437,0.7682,0.0875,high,0.6539822034191982,358.8,1.2,2377,853167.62,0.8277
lulu_collaboration_2017_spring_櫻花季,lulu_pig,Lulu罐頭豬,collaboration,聯乘,2017,1,Spring,2,7,1,櫻花季,1,very_high,growing,95.0,96.71,93.88,100.2,106.18,-1.71,4.59,7178,1074,0.6534,0.1496,medium,0.7140274864846364,299.0,1.0,3774,1128530.62,0.8844
lulu_collaboration_2017_spring_春節,lulu_pig,Lulu罐頭豬,collaboration,聯乘,2017,1,Spring,2,7,1,春節,1,very_high,growing,95.0,97.62,64.94,99.03,83.34,-2.62,13.74,6385,710,0.7407,0.1112,very_high,0.35598648524349663,388.7,1.3,3149,1224157.66,0.7782
lulu_collaboration_2017_spring_復活節,lulu_pig,Lulu罐頭豬,collaboration,聯乘,2017,1,Spring,2,7,1,復活節,1,very_high,growing,92.91,90.61,94.0,88.39,86.14,2.3,2.9,7123,925,0.8838,0.1299,low,0.32129547698515654,284.05,0.95,3578,1016558.59,0.9438
lulu_collaboration_2017_spring_情人節,lulu_pig,Lulu罐頭豬,collaboration,聯乘,2017,1,Spring,2,7,1,情人節,1,very_high,growing,95.0,87.01,105.02,95.74,102.34,7.99,6.95,7187,991,0.8479,0.1379,high,0.507779997218571,358.8,1.2,3992,1432432.77,0.7736
lulu_lulu_world_2017_spring_復活節,lulu_pig,Lulu罐頭豬,lulu_world,LuLu World,2017,1,Spring,2,7,1,復活節,1,high,growing,95.0,101.88,97.6,97.52,106.57,-6.88,3.72,4969,728,0.6977,0.1465,low,0.6628682550045188,284.05,0.95,3187,905286.78,0.8167
lulu_lulu_world_2017_spring_情人節,lulu_pig,Lulu罐頭豬,lulu_world,LuLu World,2017,1,Spring,2,7,1,情人節,1,high,growing,95.0,104.83,99.99,107.96,93.43,-9.83,5.48,6001,792,0.7273,0.132,high,0.5329791171077574,358.8,1.2,2826,1014059.37,0.8872
lulu_lulu_world_2017_spring_櫻花季,lulu_pig,Lulu罐頭豬,lulu_world,LuLu World,2017,1,Spring,2,7,1,櫻花季,1,high,growing,95.0,81.16,91.83,101.75,93.2,13.84,7.32,5693,746,0.6936,0.131,medium,0.4487588675156973,299.0,1.0,2739,819133.56,0.8584
lulu_lulu_world_2017_spring_春節,lulu_pig,Lulu罐頭豬,lulu_world,LuLu World,2017,1,Spring,2,7,1,春節,1,high,growing,95.0,94.17,97.0,93.59,79.38,0.83,6.85,5023,402,0.804,0.08,very_high,0.5418959530648588,388.7,1.3,2868,1114983.5,0.8404
lulu_pr_seeding_2017_spring_復活節,lulu_pig,Lulu罐頭豬,pr_seeding,公關,2017,1,Spring,2,7,1,復活節,1,medium,stable,91.73,96.76,91.26,77.0,100.76,-5.04,9.0,3217,332,0.6938,0.1032,low,0.44816512554592824,284.05,0.95,1797,510591.2,0.7775
lulu_pr_seeding_2017_spring_春節,lulu_pig,Lulu罐頭豬,pr_seeding,公關,2017,1,Spring,2,7,1,春節,1,medium,stable,95.0,85.32,94.08,82.98,93.4,9.68,4.87,3508,287,0.7887,0.0818,very_high,0.6475655245092091,388.7,1.3,1416,550664.47,0.8483
lulu_pr_seeding_2017_spring_櫻花季,lulu_pig,Lulu罐頭豬,pr_seeding,公關,2017,1,Spring,2,7,1,櫻花季,1,medium,stable,95.0,101.82,93.67,96.76,91.55,-6.82,3.86,3811,379,0.8817,0.0994,medium,0.42751783481823,299.0,1.0,1853,554136.1,0.7856
lulu_pr_seeding_2017_spring_情人節,lulu_pig,Lulu罐頭豬,pr_seeding,公關,2017,1,Spring,2,7,1,情人節,1,medium,stable,95.0,98.24,85.89,84.89,96.99,-3.24,6.14,3885,425,0.6743,0.1094,high,0.44869888657886176,358.8,1.2,1493,535714.06,0.8448
lulu_sticker_2017_spring_復活節,lulu_pig,Lulu罐頭豬,sticker,表情包/貼圖,2017,1,Spring,2,7,1,復活節,1,low,growing,91.65,97.36,91.26,84.22,88.14,-5.71,4.81,6108,725,0.8201,0.1187,low,0.30474609776799927,284.05,0.95,4553,1293322.78,0.8442
lulu_sticker_2017_spring_櫻花季,lulu_pig,Lulu罐頭豬,sticker,表情包/貼圖,2017,1,Spring,2,7,1,櫻花季,1,low,growing,95.0,91.64,85.99,102.72,89.18,3.36,6.29,7242,904,0.8185,0.1248,medium,0.33348712207708775,299.0,1.0,4282,1280360.51,0.7817
lulu_sticker_2017_spring_情人節,lulu_pig,Lulu罐頭豬,sticker,表情包/貼圖,2017,1,Spring,2,7,1,情人節,1,low,growing,95.0,75.71,98.42,113.15,103.21,19.29,13.72,9385,1106,0.7554,0.1178,high,0.6795728202687356,358.8,1.2,4485,1609258.36,0.7919
lulu_campaign_2017_spring_情人節,lulu_pig,Lulu罐頭豬,campaign,活動,2017,1,Spring,2,7,1,情人節,1,high,growing,95.0,101.3,88.78,91.35,95.58,-6.3,4.74,5625,767,0.719,0.1364,high,0.3611481331797653,358.8,1.2,3362,1206287.21,0.7696
lulu_campaign_2017_spring_櫻花季,lulu_pig,Lulu罐頭豬,campaign,活動,2017,1,Spring,2,7,1,櫻花季,1,high,growing,95.0,103.89,111.59,92.04,95.82,-8.89,7.54,4370,500,0.8982,0.1144,medium,0.7657019741880982,299.0,1.0,3077,920241.38,0.8785
lulu_campaign_2017_spring_復活節,lulu_pig,Lulu罐頭豬,campaign,活動,2017,1,Spring,2,7,1,復活節,1,high,growing,95.0,92.14,101.32,91.69,103.93,2.86,5.44,4863,699,0.6731,0.1437,low,0.5837020210032995,284.05,0.95,3567,1013354.04,0.857
lulu_2d_animation_2017_summer_兒童節,lulu_pig,Lulu罐頭豬,2d_animation,2D視頻,2017,2,Summer,5,20,0,兒童節,1,high,growing,94.88,88.56,88.96,93.92,97.08,6.32,3.55,5139,640,0.8408,0.1245,medium,0.3977048303268049,328.9,1.1,2922,961279.37,0.9218
lulu_2d_animation_2017_summer_海洋主題,lulu_pig,Lulu罐頭豬,2d_animation,2D視頻,2017,2,Summer,5,20,0,海洋主題,1,high,growing,95.0,104.92,93.69,90.03,91.81,-9.92,5.81,4848,560,0.7392,0.1155,medium,0.7298934645934705,284.05,0.95,2746,780254.17,0.8764
lulu_2d_animation_2017_summer_端午節,lulu_pig,Lulu罐頭豬,2d_animation,2D視頻,2017,2,Summer,5,20,0,端午節,1,high,growing,95.0,93.82,96.73,91.52,94.26,1.18,1.85,5332,554,0.7576,0.1039,medium,0.639244971721006,299.0,1.0,2874,859335.3,0.7649
